Time,Country,Interest Rate,Output,Country Type,Output Trend,Output Growth,Change In Interest Rate,Output Growth Rate,Log Output,Output Cycle
1986-10-01,Brazil,,,Emerging,,,,,,
1987-01-01,Brazil,,,Emerging,,,,,,
1987-04-01,Brazil,,,Emerging,,,,,,
1987-07-01,Brazil,,,Emerging,,,,,,
1987-10-01,Brazil,,,Emerging,,,,,,
1988-01-01,Brazil,,,Emerging,,,,,,
1988-04-01,Brazil,,,Emerging,,,,,,
1988-07-01,Brazil,,,Emerging,,,,,,
1988-10-01,Brazil,,,Emerging,,,,,,
1989-01-01,Brazil,,,Emerging,,,,,,
1989-04-01,Brazil,,,Emerging,,,,,,
1989-07-01,Brazil,,,Emerging,,,,,,
1989-10-01,Brazil,,,Emerging,,,,,,
1990-01-01,Brazil,,,Emerging,,,,,,
1990-04-01,Brazil,,,Emerging,,,,,,
1990-07-01,Brazil,,,Emerging,,,,,,
1990-10-01,Brazil,,,Emerging,,,,,,
1991-01-01,Brazil,,,Emerging,,,,,,
1991-04-01,Brazil,,,Emerging,,,,,,
1991-07-01,Brazil,,101.71985056812862,Emerging,101.71985056812862,,,,4.622222471501804,2.2756018317628524
1991-10-01,Brazil,,102.1218958291036,Emerging,102.1218958291036,,,0.003952475930012262,4.626167156919954,1.7429767349327108
1992-01-01,Brazil,,101.1911680229526,Emerging,101.1911680229526,,,-0.009113890792906242,4.617011480544431,-0.10110679240966647
1992-04-01,Brazil,,100.51452936576398,Emerging,100.51452936576398,,,-0.006686736307215475,4.610302287853401,-1.704475814051598
1992-07-01,Brazil,,100.86685793019349,Emerging,100.86685793019349,-0.8385704787914783,,0.0035052501031708426,4.61380140888587,-2.2933957459512655
1992-10-01,Brazil,,101.95773721537854,Emerging,101.95773721537854,-0.1607477146720493,,0.01081504180431608,4.624558386395609,-2.164295435206487
1993-01-01,Brazil,,103.43901984087528,Emerging,103.43901984087528,2.221391314914767,,0.014528398392832383,4.6389822587891185,-1.676220791300853
1993-04-01,Brazil,,104.82239966610965,Emerging,104.82239966610965,4.285818505571148,,0.01337386826907761,4.652267486320424,-1.3083228543182557
1993-07-01,Brazil,,105.92571362838012,Emerging,105.92571362838012,5.015379483405447,,0.01052555528002467,4.66273803359996,-1.225754590707151
1993-10-01,Brazil,,106.75834253759636,Emerging,106.75834253759636,4.708426700444401,,0.007860498463454844,4.670567799290258,-1.4078578599225011
1994-01-01,Brazil,,107.89961061331638,Emerging,107.89961061331638,4.3122902549763475,,0.010690200396452465,4.681201263483865,-1.3061502817985904
1994-04-01,Brazil,,110.15234744108287,Emerging,110.15234744108287,5.084741230834888,,0.020878081162310172,4.701864384333869,-0.1931217589532963
1994-07-01,Brazil,13.9072171979,112.98243297335675,Emerging,112.98243297335675,6.661951195092963,,0.025692466824527825,4.727232346214346,1.4044767720203133
1994-10-01,Brazil,13.5136593279,115.34142861466411,Emerging,115.34142861466411,8.03973335764847,,0.02087931352888862,4.747896674226946,2.5516491483859483
1995-01-01,Brazil,18.0304516505,116.57177595731314,Emerging,116.57177595731314,8.037253605182592,,0.01066700280572564,4.758507185930324,2.7183506551248016
1995-04-01,Brazil,17.3130055556,116.56968980828339,Emerging,116.56968980828339,5.825878899796444,,-1.789583295457804e-05,4.758489289937237,1.850500901910923
1995-07-01,Brazil,16.0297969365,115.99873012655539,Emerging,115.99873012655539,2.6697045494762373,2.122579738599999,-0.004898011504251482,4.7535792438615765,0.5234054293719481
1995-10-01,Brazil,15.5432283226,115.88854750747873,Emerging,115.88854750747873,0.474347248326934,2.0295689947,-0.0009498605627530843,4.752628931895409,-0.37722412711005404
1996-01-01,Brazil,13.1697549839,117.02912436730763,Emerging,117.02912436730763,0.39233202568860204,-4.860696666600001,0.009842015318686184,4.762422830037071,-0.1727440799200508
1996-04-01,Brazil,12.7349662857,118.68548114837802,Emerging,118.68548114837802,1.8150441539085849,-4.5780392699,0.014153372419259878,4.776476978619542,0.48888145710144215
1996-07-01,Brazil,11.3972070885,120.06759930475076,Emerging,120.06759930475076,3.5076842425397325,-4.6325898479999985,0.011645216777988594,4.788054911712241,0.9345457088070219
1996-10-01,Brazil,10.442556847,121.44414244967038,Emerging,121.44414244967038,4.793911962554476,-5.100671475599999,0.01146473447366709,4.799454424146498,1.3942624253298064
1997-01-01,Brazil,9.45504555,122.45797240705838,Emerging,122.45797240705838,4.638886319196711,-3.7147094339000013,0.008348117389096434,4.807767888727193,1.576919063089477
1997-04-01,Brazil,9.34390896354,123.03457462621674,Emerging,123.03457462621674,3.6643854292519373,-3.39105732216,0.0047085723193398665,4.812465410394841,1.428304878053499
1997-07-01,Brazil,8.80072216667,123.44636767309775,Emerging,123.44636767309775,2.8140550722357105,-2.5964849218299992,0.0033469701352815437,4.815806791892111,1.1721933319901012
1997-10-01,Brazil,10.4283142419,123.84394012569713,Emerging,123.84394012569713,1.9760505756968083,-0.01424260509999975,0.003220608755797507,4.819022225595765,0.9285041595276766
1998-01-01,Brazil,10.2243355301,124.11101455184186,Emerging,124.11101455184186,1.349885280877161,0.7692899800999999,0.002156540125206451,4.821176443726033,0.5998784588094885
1998-04-01,Brazil,10.316351,123.79477766546312,Emerging,123.79477766546312,0.6178775694197336,0.9724420364599986,-0.002548016286231005,4.818625175721509,-0.18252326528482854
1998-07-01,Brazil,14.5532063958,123.5752459328751,Emerging,123.5752459328751,0.1044002040778036,5.752484229129999,-0.0017733521294513847,4.816850249341762,-0.8753055998147019
1998-10-01,Brazil,15.9656112849,123.61296763693925,Emerging,123.61296763693925,-0.1865028587781148,5.537297042999999,0.0003052529151722655,4.817155455676742,-1.3527627217607474
1999-01-01,Brazil,17.6788960273,123.48518565518974,Emerging,123.48518565518974,-0.5042492794954279,7.454560497199999,-0.0010337263492032052,4.81612119466396,-1.960980857347927
1999-04-01,Brazil,13.962240619,123.94876105268024,Emerging,123.94876105268024,0.1243860121735052,3.645889619,0.0037540972630105826,4.81986826289014,-2.0911610911793055
1999-07-01,Brazil,15.2769431875,125.25587103644625,Emerging,125.25587103644625,1.3600014233303925,0.7237367917000004,0.010545567157468145,4.830358613408882,-1.5491632481341
1999-10-01,Brazil,13.1302717849,126.71617966442813,Emerging,126.71617966442813,2.510425958385887,-2.8353395,0.011658604230670845,4.841949779761503,-0.8999821286378662
2000-01-01,Brazil,12.333042873,128.06784185687076,Emerging,128.06784185687076,3.711097956703302,-5.3458531542999985,0.010666847722383407,4.852560138018341,-0.3515600531845742
2000-04-01,Brazil,13.3157742857,129.32257588787527,Emerging,129.32257588787527,4.335513150398551,-0.6464663332999994,0.009797416844166188,4.8623098713711626,0.10890385870494512
2000-07-01,Brazil,12.9557552381,130.58151484035199,Emerging,130.58151484035199,4.251811719353338,-2.3211879494000005,0.009734873774616362,4.871997666551605,0.5622805665305819
2000-10-01,Brazil,13.7179344086,131.59318147537374,Emerging,131.59318147537374,3.8487601377037883,0.5876626237,0.0077473954583741084,4.879715205051743,0.8186724409243062
2001-01-01,Brazil,12.0907363441,132.01654769126114,Emerging,132.01654769126114,3.0832922434997245,-0.24230652890000037,0.0032172352027724687,4.882927276026733,0.6251411934722562
2001-04-01,Brazil,11.9178320635,131.98728668697262,Emerging,131.98728668697262,2.0605147869987572,-1.3979422221999993,-0.0002216464890215528,4.882705604970498,0.08893049936178343
2001-07-01,Brazil,12.9300332787,131.75580932068812,Emerging,131.75580932068812,0.8992807915973566,-0.025721959400000216,-0.0017537853235326463,4.880950279965041,-0.6002704206580667
2001-10-01,Brazil,12.1213366667,,Emerging,,,-1.5965977419000001,,,
2002-01-01,Brazil,9.78204283333,,Emerging,,,-2.3086935107700004,,,
2002-04-01,Brazil,11.8142693229,,Emerging,,,-0.10356274060000104,,,
1980-01-01,Canada,14.38,,Developed,,,,,,
1980-04-01,Canada,12.98,,Developed,,,,,,
1980-07-01,Canada,10.72,,Developed,,,,,,
1980-10-01,Canada,14.53,,Developed,,,,,,
1981-01-01,Canada,17.13,598955.0,Developed,,,2.7499999999999982,,13.302941749066866,3.5611633379648566
1981-04-01,Canada,18.57,604542.0,Developed,,,5.59,0.009327912781427652,13.312226425531625,3.928856276302106
1981-07-01,Canada,21.02,600289.0,Developed,599300.0,,10.299999999999999,-0.007035077794429502,13.305166484900797,2.6598617779947986
1981-10-01,Canada,16.62,597224.0,Developed,595974.875,,2.0900000000000016,-0.005105874004021397,13.300047531381537,1.5780590014994544
1982-01-01,Canada,15.35,591335.0,Developed,591118.375,-1.2722157758095376,-1.7799999999999994,-0.009860621810242054,13.29013797166887,0.003944940448974421
1982-04-01,Canada,16.05,585561.0,Developed,585861.5,-3.139732227041292,-2.5199999999999996,-0.009764346774670871,13.280325641050814,-1.581026839100197
1982-07-01,Canada,14.32,580418.0,Developed,582161.0,-3.31023890159573,-6.699999999999999,-0.008783030290610202,13.271503812605692,-3.094861457648612
1982-10-01,Canada,10.88,575040.0,Developed,582700.5,-3.7145191753847784,-5.74,-0.009265736072968102,13.262194882577331,-4.691663577371941
1983-01-01,Canada,9.62,583915.0,Developed,587068.625,-1.2547878951863156,-5.73,0.015433708959376739,13.277510703272029,-3.864657965787721
1983-04-01,Canada,9.32,597297.0,Developed,594455.25,2.004231839210613,-6.73,0.02291771918858053,13.300169756106076,-2.343474189678041
1983-07-01,Canada,9.33,603627.0,Developed,603656.75,3.998669924089193,-4.99,0.010597742831455708,13.31071173648574,-2.073205005599732
1983-10-01,Canada,9.55,610924.0,Developed,612762.0,6.240261547022818,-1.33,0.012088591133266073,13.322727844165074,-1.6923280639627336
1984-01-01,Canada,10.08,621643.0,Developed,621087.0,6.461214389080605,0.46000000000000085,0.01754555394779056,13.340121251962179,-0.8068279556439961
1984-04-01,Canada,11.45,632411.0,Developed,629389.375,5.878817405746228,2.129999999999999,0.01732183906196965,13.357294778220576,0.028332986061663235
1984-07-01,Canada,12.45,635113.0,Developed,637896.5,5.216135129806987,3.119999999999999,0.004272537953957158,13.36155821479902,-0.45060595314527774
1984-10-01,Canada,10.77,645857.0,Developed,645062.0,5.718059856872548,1.2199999999999989,0.016916674670491707,13.378333396031403,0.3037810518325301
1985-01-01,Canada,10.52,654767.0,Developed,652045.0,5.328460225563547,0.4399999999999995,0.013795623489410195,13.392034726141334,0.7384584437847508
1985-04-01,Canada,9.67,656611.0,Developed,660030.75,3.826625406578943,-1.7799999999999994,0.0028162689933976513,13.394847036879144,0.07724355501608215
1985-07-01,Canada,9.03,666777.0,Developed,666682.0,4.985569497081621,-3.42,0.015482530752606947,13.410210936162496,0.6690697980374694
1985-10-01,Canada,9.02,678079.0,Developed,672439.5,4.98903007941387,-1.75,0.016950194742770073,13.427019079308742,1.4080270481066748
1986-01-01,Canada,11.03,675755.0,Developed,677662.0,3.2054150560428374,0.5099999999999998,-0.003427329263994313,13.42358586329741,0.12996117807446694
1986-04-01,Canada,8.73,681683.0,Developed,679947.25,3.8183947573220633,-0.9399999999999995,0.008772410119052023,13.432320019384068,0.0792714714901166
1986-07-01,Canada,8.47,683485.0,Developed,682479.0,2.5057852925340907,-0.5599999999999987,0.0026434574428289984,13.434959989038466,-0.5667529924162196
1986-10-01,Canada,8.4,679653.0,Developed,687486.25,0.23212634516036612,-0.6199999999999992,-0.005606560495109622,13.429337652790288,-2.021528773090253
1987-01-01,Canada,7.25,694435.0,Developed,694045.75,2.764315469363887,-3.7799999999999994,0.021749333851244678,13.450853844283884,-0.7412228978919799
1987-04-01,Canada,8.3,703061.0,Developed,703495.5,3.136061776514887,-0.4299999999999997,0.0124216089338815,13.463198938009926,-0.35178485406603954
1987-07-01,Canada,9.3,714583.0,Developed,714159.875,4.549916969648193,0.8300000000000001,0.016388336147219087,13.479454434755866,0.4604117651329176
1987-10-01,Canada,8.7,724153.0,Developed,724364.25,6.5474587767581305,0.29999999999999893,0.013392426072268721,13.492757975008518,1.0148272019197435
1988-01-01,Canada,8.62,735250.0,Developed,733387.125,5.877439933183082,1.3699999999999992,0.015324109684003242,13.507965856416241,1.8024996573112517
1988-04-01,Canada,9.13,743881.0,Developed,740820.25,5.806039589736889,0.8300000000000001,0.011738864331859911,13.519636354785906,2.284030881173038
1988-07-01,Canada,10.05,745946.0,Developed,747454.25,4.38899330098812,0.75,0.0027759816422250334,13.522408490506919,1.9269705193382336
1988-10-01,Canada,10.83,752255.0,Developed,753049.375,3.8806716260237906,2.130000000000001,0.00845771677842632,13.53083064119669,2.188376421139182
1989-01-01,Canada,11.82,760220.0,Developed,757930.0,3.3961237674260403,3.200000000000001,0.010588164917481439,13.541363144057302,2.715298037801084
1989-04-01,Canada,12.41,763672.0,Developed,762086.875,2.660506183112621,3.2799999999999994,0.004540790823708926,13.545893656592984,2.6961491155002903
1989-07-01,Canada,12.29,765200.0,Developed,765285.5,2.5811519868730537,2.2399999999999984,0.0020008590075320295,13.547892516548234,2.4759143631660763
1989-10-01,Canada,12.33,766256.0,Developed,767348.125,1.8612039800333768,1.5,0.0013800313643491898,13.549271596544479,2.2420468842216934
1990-01-01,Canada,13.15,771808.0,Developed,767768.625,1.5242955986424889,1.33,0.007245620262679836,13.556491093411568,2.6352847564572457
1990-04-01,Canada,13.8,768585.0,Developed,766443.125,0.6433390251312066,1.3900000000000006,-0.004175909034371242,13.552306440919319,1.9244884723573108
1990-07-01,Canada,12.98,763651.0,Developed,762058.0,-0.20243073706220915,0.6900000000000013,-0.0064195892451713215,13.54586615749816,1.0161799374941438
1990-10-01,Canada,12.17,757201.0,Developed,756202.0,-1.1817199473805107,-0.16000000000000014,-0.008446266684650448,13.537384018971478,-0.07779600855872815
1991-01-01,Canada,10.23,745782.0,Developed,751946.75,-3.372082175877944,-2.92,-0.015080540041547753,13.522188611278722,-1.8347486270819502
1991-04-01,Canada,9.08,747763.0,Developed,749794.125,-2.7091343182601757,-4.720000000000001,0.0026562722082324325,13.524841361830871,-1.8086544096975743
1991-07-01,Canada,8.62,750431.0,Developed,750084.125,-1.731157295675645,-4.360000000000001,0.003567975414670156,13.528402987121503,-1.7024142218765803
